fiscalDateEnding,reportedCurrency,gross_profit,revenue,costOfRevenue,costofGoodsAndServicesSold,operating_income,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestExpense,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,ebit,ebitda,net_income,Ticker,Statement
2024-06-30,USD,171008000000,245122000000,74114000000,74114000000,109433000000,7609000000,29510000000,61575000000,2935000000,,22287000000,107787000000,19651000000,88136000000.0,110722000000,133009000000,88136000000,MSFT,INCOME_STATEMENT
2023-06-30,USD,146052000000,211915000000,65863000000,65863000000,88523000000,7575000000,27195000000,57529000000,1968000000,,13861000000,89311000000,16950000000,72361000000.0,91279000000,105140000000,72361000000,MSFT,INCOME_STATEMENT
2022-06-30,USD,135620000000,198270000000,62650000000,62650000000,83383000000,5900000000,24512000000,52237000000,2063000000,333000000.0,14460000000,83716000000,10978000000,72738000000.0,85779000000,100239000000,72738000000,MSFT,INCOME_STATEMENT
2021-06-30,USD,115856000000,168088000000,52232000000,52232000000,69916000000,5107000000,20716000000,45940000000,2346000000,1186000000.0,11686000000,71102000000,9831000000,61271000000.0,73448000000,85134000000,61271000000,MSFT,INCOME_STATEMENT
2020-06-30,USD,96937000000,143015000000,46078000000,46078000000,52959000000,5111000000,19269000000,43978000000,2591000000,77000000.0,12796000000,53036000000,8755000000,44281000000.0,55627000000,68423000000,44281000000,MSFT,INCOME_STATEMENT
2019-06-30,USD,82933000000,125843000000,42910000000,42910000000,42959000000,4885000000,16876000000,39974000000,2686000000,729000000.0,11682000000,43688000000,4448000000,39240000000.0,46374000000,58056000000,39240000000,MSFT,INCOME_STATEMENT
2018-06-30,USD,72007000000,110360000000,38353000000,38353000000,35058000000,4754000000,14726000000,36949000000,2733000000,1416000000.0,10261000000,36474000000,19903000000,16571000000.0,39207000000,49468000000,16571000000,MSFT,INCOME_STATEMENT
2017-06-30,USD,62310000000,96571000000,34261000000,34261000000,29025000000,4481000000,13037000000,32979000000,2222000000,823000000.0,8778000000,29901000000,4412000000,21204000000.0,32123000000,40901000000,25489000000,MSFT,INCOME_STATEMENT
2016-06-30,USD,58374000000,91154000000,32780000000,32780000000,26078000000,4563000000,11988000000,31186000000,1243000000,-431000000.0,6622000000,25639000000,5100000000,16798000000.0,26882000000,33504000000,20539000000,MSFT,INCOME_STATEMENT
2015-06-30,USD,60542000000,93580000000,33038000000,33038000000,18161000000,4611000000,12046000000,32370000000,781000000,346000000.0,5957000000,18507000000,6314000000,12193000000.0,19288000000,25245000000,12193000000,MSFT,INCOME_STATEMENT
2014-06-30,USD,59755000000,86833000000,27078000000,27078000000,27759000000,4677000000,11381000000,31869000000,597000000,61000000.0,5212000000,27820000000,5746000000,22074000000.0,28417000000,33629000000,22074000000,MSFT,INCOME_STATEMENT
2013-06-30,USD,57464000000,77849000000,20385000000,20385000000,26764000000,5013000000,10411000000,30700000000,429000000,288000000.0,3755000000,27052000000,5189000000,21863000000.0,27481000000,31236000000,21863000000,MSFT,INCOME_STATEMENT
2012-06-30,USD,56193000000,73723000000,17530000000,17530000000,21763000000,4569000000,9811000000,28237000000,380000000,504000000.0,2967000000,22267000000,5289000000,16978000000.0,22647000000,25614000000,16978000000,MSFT,INCOME_STATEMENT
2011-06-30,USD,54366000000,69943000000,15577000000,15577000000,27161000000,4222000000,9043000000,27205000000,295000000,910000000.0,2766000000,28071000000,4921000000,23150000000.0,28366000000,31132000000,23150000000,MSFT,INCOME_STATEMENT
2010-06-30,USD,50089000000,62484000000,12395000000,12395000000,24098000000,4063000000,8714000000,25991000000,151000000,915000000.0,2673000000,25013000000,6253000000,18760000000.0,25164000000,27837000000,18760000000,MSFT,INCOME_STATEMENT
2009-06-30,USD,46282000000,58437000000,12155000000,12155000000,20363000000,4030000000,9010000000,25919000000,38000000,,2562000000,19821000000,5252000000,,19859000000,22421000000,14569000000,MSFT,INCOME_STATEMENT
2008-06-30,USD,48822000000,60420000000,11598000000,11598000000,22271000000,5127000000,8164000000,26551000000,106000000,,2056000000,23814000000,6133000000,,23920000000,25976000000,17681000000,MSFT,INCOME_STATEMENT
2007-06-30,USD,40429000000,51122000000,10693000000,10693000000,18438000000,3329000000,7121000000,21991000000,0,,1440000000,20101000000,6036000000,,18438000000,19878000000,14065000000,MSFT,INCOME_STATEMENT
2006-06-30,USD,36632000000,44282000000,7650000000,7650000000,16472000000,3758000000,6584000000,20160000000,0,,903000000,18262000000,5663000000,,16472000000,17375000000,12599000000,MSFT,INCOME_STATEMENT
2005-06-30,USD,33757000000,39788000000,6031000000,6031000000,14561000000,12843000000,6184000000,19196000000,0,,855000000,16628000000,4374000000,,14561000000,15416000000,12254000000,MSFT,INCOME_STATEMENT
